council,year,measure,value,sex
Scotland,2015-2017,Healthy Life Expectancy,62.32,Male
Aberdeen City,2015-2017,Healthy Life Expectancy,61.47,Male
Aberdeenshire,2015-2017,Healthy Life Expectancy,68.12,Male
Angus,2015-2017,Healthy Life Expectancy,62.92,Male
Argyll and Bute,2015-2017,Healthy Life Expectancy,64.29,Male
City of Edinburgh,2015-2017,Healthy Life Expectancy,65.03,Male
Clackmannanshire,2015-2017,Healthy Life Expectancy,62.57,Male
Dumfries and Galloway,2015-2017,Healthy Life Expectancy,64.44,Male
Dundee City,2015-2017,Healthy Life Expectancy,56.47,Male
East Ayrshire,2015-2017,Healthy Life Expectancy,60.16,Male
East Dunbartonshire,2015-2017,Healthy Life Expectancy,68.92,Male
East Lothian,2015-2017,Healthy Life Expectancy,65.31,Male
East Renfrewshire,2015-2017,Healthy Life Expectancy,66.48,Male
Falkirk,2015-2017,Healthy Life Expectancy,63.23,Male
Fife,2015-2017,Healthy Life Expectancy,62.29,Male
Glasgow City,2015-2017,Healthy Life Expectancy,57.22,Male
Highland,2015-2017,Healthy Life Expectancy,66.26,Male
Inverclyde,2015-2017,Healthy Life Expectancy,60.47,Male
Midlothian,2015-2017,Healthy Life Expectancy,61.76,Male
Moray,2015-2017,Healthy Life Expectancy,64.24,Male
Na h-Eileanan Siar,2015-2017,Healthy Life Expectancy,64.97,Male
North Ayrshire,2015-2017,Healthy Life Expectancy,56.01,Male
North Lanarkshire,2015-2017,Healthy Life Expectancy,58.12,Male
Orkney Islands,2015-2017,Healthy Life Expectancy,64.62,Male
Perth and Kinross,2015-2017,Healthy Life Expectancy,67.63,Male
Renfrewshire,2015-2017,Healthy Life Expectancy,60.95,Male
Scottish Borders,2015-2017,Healthy Life Expectancy,64.48,Male
Shetland Islands,2015-2017,Healthy Life Expectancy,68.12,Male
South Ayrshire,2015-2017,Healthy Life Expectancy,62.13,Male
South Lanarkshire,2015-2017,Healthy Life Expectancy,60.76,Male
Stirling,2015-2017,Healthy Life Expectancy,64.77,Male
West Dunbartonshire,2015-2017,Healthy Life Expectancy,58.18,Male
West Lothian,2015-2017,Healthy Life Expectancy,61.88,Male
Scotland,2016-2018,Healthy Life Expectancy,61.88,Male
Aberdeen City,2016-2018,Healthy Life Expectancy,60.96,Male
Aberdeenshire,2016-2018,Healthy Life Expectancy,68.92,Male
Angus,2016-2018,Healthy Life Expectancy,61.15,Male
Argyll and Bute,2016-2018,Healthy Life Expectancy,65.21,Male
City of Edinburgh,2016-2018,Healthy Life Expectancy,65.4,Male
Clackmannanshire,2016-2018,Healthy Life Expectancy,62.21,Male
Dumfries and Galloway,2016-2018,Healthy Life Expectancy,64.17,Male
Dundee City,2016-2018,Healthy Life Expectancy,56.46,Male
East Ayrshire,2016-2018,Healthy Life Expectancy,57.79,Male
East Dunbartonshire,2016-2018,Healthy Life Expectancy,69.69,Male
East Lothian,2016-2018,Healthy Life Expectancy,65.45,Male
East Renfrewshire,2016-2018,Healthy Life Expectancy,68.77,Male
Falkirk,2016-2018,Healthy Life Expectancy,62.1,Male
Fife,2016-2018,Healthy Life Expectancy,60.97,Male
Glasgow City,2016-2018,Healthy Life Expectancy,56.08,Male
Highland,2016-2018,Healthy Life Expectancy,64.34,Male
Inverclyde,2016-2018,Healthy Life Expectancy,59.58,Male
Midlothian,2016-2018,Healthy Life Expectancy,61.02,Male
Moray,2016-2018,Healthy Life Expectancy,62.12,Male
Na h-Eileanan Siar,2016-2018,Healthy Life Expectancy,66.07,Male
North Ayrshire,2016-2018,Healthy Life Expectancy,57.33,Male
North Lanarkshire,2016-2018,Healthy Life Expectancy,57.96,Male
Orkney Islands,2016-2018,Healthy Life Expectancy,66.68,Male
Perth and Kinross,2016-2018,Healthy Life Expectancy,66.64,Male
Renfrewshire,2016-2018,Healthy Life Expectancy,60.17,Male
Scottish Borders,2016-2018,Healthy Life Expectancy,63.5,Male
Shetland Islands,2016-2018,Healthy Life Expectancy,67.49,Male
South Ayrshire,2016-2018,Healthy Life Expectancy,61.68,Male
South Lanarkshire,2016-2018,Healthy Life Expectancy,59.27,Male
Stirling,2016-2018,Healthy Life Expectancy,63.28,Male
West Dunbartonshire,2016-2018,Healthy Life Expectancy,58.35,Male
West Lothian,2016-2018,Healthy Life Expectancy,63.04,Male
Scotland,2017-2019,Healthy Life Expectancy,61.68,Male
Aberdeen City,2017-2019,Healthy Life Expectancy,60.59,Male
Aberdeenshire,2017-2019,Healthy Life Expectancy,67.91,Male
Angus,2017-2019,Healthy Life Expectancy,60.98,Male
Argyll and Bute,2017-2019,Healthy Life Expectancy,64.7,Male
City of Edinburgh,2017-2019,Healthy Life Expectancy,66.29,Male
Clackmannanshire,2017-2019,Healthy Life Expectancy,62.78,Male
Dumfries and Galloway,2017-2019,Healthy Life Expectancy,62.39,Male
Dundee City,2017-2019,Healthy Life Expectancy,56.84,Male
East Ayrshire,2017-2019,Healthy Life Expectancy,59.33,Male
East Dunbartonshire,2017-2019,Healthy Life Expectancy,69.81,Male
East Lothian,2017-2019,Healthy Life Expectancy,65.2,Male
East Renfrewshire,2017-2019,Healthy Life Expectancy,68.28,Male
Falkirk,2017-2019,Healthy Life Expectancy,62.39,Male
Fife,2017-2019,Healthy Life Expectancy,61.56,Male
Glasgow City,2017-2019,Healthy Life Expectancy,54.59,Male
Highland,2017-2019,Healthy Life Expectancy,63.95,Male
Inverclyde,2017-2019,Healthy Life Expectancy,58.35,Male
